Team,Opponent,Ground,Toss,Selection,Run_Scored,Wicket_Lost,Fours,Sixes,Extras,Run_Rate,Avg_Bat_Strike_Rate,Maximum_Partnership,Wicket_Taken,Highest_Individual_wicket,Result
India,Bangladesh,Mirpur,Lose,Batting,289,5,25,3,18,5.78,116.94,114,5,3,Lose
India,Pakistan,Mirpur,Lose,Bowling,330,4,34,4,11,6.89,152.32,183,6,2,Win
Pakistan,India,Mirpur,Win,Batting,329,6,27,2,15,6.58,86.28,112,4,2,Lose
Bangladesh,Sri Lanka,Mirpur,Win,Bowling,212,5,23,0,20,5.7,72.18,59,10,3, Win 
Sri Lanka,Bangladesh,Mirpur,Lose,Batting,232,10,19,1,11,4.65,64.14,62,5,2, Lose 
Bangladesh,Pakistan,Mirpur,Win,Bowling,234,8,20,1,11,4.68,76.41,68,9,2,Lose
Pakistan,Bangladesh,Mirpur,Lose,Batting,236,9,19,3,18,4.72,74.75,46,8,3,Win
Pakistan,Sri Lanka,Fatullah,Lose,Bowling,284,10,26,6,13,5.81,101.36,74,6,2,Lose
Sri Lanka,Pakistan,Fatullah,Win,Batting,296,6,29,2,18,5.92,86.84,102,10,5,Win
Bangladesh,India,Fatullah,Lose,Batting,279,7,20,6,18,5.58,81.02,117,4,1,Lose
India,Bangladesh,Fatullah,Win,Bowling,280,4,29,4,11,5.71,82.58,136,7,4,Win
Afghanistan,Pakistan,Fatullah,Win,Bowling,176,10,18,0,13,3.71,45.44,44,8,2,Lose
Pakistan,Afghanistan,Fatullah,Lose,Batting,248,8,22,5,5,4.96,70.21,102,10,3,Win
India,Sri Lanka,Fatullah,Lose,Batting,264,9,17,5,11,5.28,82.73,94,8,3,Lose
Sri Lanka,India,Fatullah,Win,Bowling,265,8,25,4,8,5.37,85.75,103,9,4,Win
Bangladesh,Afghanistan,Fatullah,Win,Bowling,222,10,16,4,12,4.64,52.1,50,6,2,Lose
Afghanistan,Bangladesh,Fatullah,Lose,Batting,254,6,21,5,17,5.08,55.1,90,10,3,Win
India,Pakistan,Mirpur,Lose,Batting,245,8,23,5,8,4.9,74.32,58,9,3,Lose
Pakistan,India,Mirpur,Win,Bowling,249,9,16,8,17,5.01,68.36,75,8,3,Win
Afghanistan,Sri Lanka,Mirpur,Lose,Bowling,124,10,11,2,9,3.2,38.46,37,6,2,Lose
Sri Lanka,Afghanistan,Mirpur,Win,Batting,253,6,18,2,18,5.06,79.39,76,10,3,Win
Bangladesh,Pakistan,Mirpur,Win,Batting,326,3,31,8,21,6.52,138.5,100,7,2,Lose
Pakistan,Bangladesh,Mirpur,Lose,Bowling,329,7,29,10,13,6.6,114.45,103,3,2,Win
Afghanistan,India,Mirpur,Lose,Batting,159,10,16,2,14,3.5,45.2,50,2,1,Lose
India,Afghanistan,Mirpur,Win,Bowling,160,2,13,1,5,4.94,78.63,60,10,4,Win
